company_name,plan_name,basic_charge,electricity_charge
東京ガス,ずっとも電気１,"{""30"":""858.00"",""40"":""1144.00"",""50"":""1430.00"",""60"":""1716.00""}","{""1..140"":""23.67"",""141..350"":""23.88"",""351.."":""26.41""}"
東京電力エナジーパートナー,従量電灯B,"{""10"":""286.00"",""15"":""429.00"",""20"":""572.00"",""30"":""858.00"",""40"":""1144.00"",""50"":""1430.00"",""60"":""1716.00""}","{""1..120"":""19.88"",""121..300"":""26.48"",""301.."":""30.57""}"
Loopでんき,おうちプラン,"{""10"":""0.00"",""15"":""0.00"",""20"":""0.00"",""30"":""0.00"",""40"":""0.00"",""50"":""0.00"",""60"":""0.00""}","{""1.."":""26.40""}"
JXTGでんき,たっぷりプラン,"{""30"":""858.00"",""40"":""1144.00"",""50"":""1430.00"",""60"":""1716.80""}","{""1..120"":""19.88"",""121..300"":""26.48"",""301..600"":""25.08"",""601.."":""26.15""}"
